DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,COLLSRC
10.18730/K37A6,G9810,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,AGUASCALIENTES - AGUASCALIENTES - AGUASCALIENTES,21.89,-102.33,,19770601.0,40.0
10.18730/JNGMW,G9800,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,ZACATECAS - ZACATECAS - ZACATECAS,22.79,-102.59,,19770601.0,40.0
10.18730/JNT83,G9784,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,VILLANUEVA - VILLANUEVA - ZACATECAS,22.38,-102.88,,19781001.0,40.0
10.18730/K3E0=,G9785,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,JUCHIPILA - JUCHIPILA - ZACATECAS,21.43,-103.12,,19781001.0,40.0
10.18730/K373U,G9783,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,TALPA - ATOLINGA - ZACATECAS,21.8,-103.46,,19770601.0,40.0
10.18730/JNRV*,G9743,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,ATOTONILCO - ATOTONILCO EL ALTO - JALISCO,20.55,-102.52,1660.0,19781001.0,40.0
10.18730/JNRQW,G9740,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,LA PIEDAD CAVADAS - LA PIEDAD CAVADAS - MICHOACAN,20.35,-102.0,,19781001.0,40.0
10.18730/JNREK,G9735,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,IRAPUATO - IRAPUATO - GUANAJUATO,20.69,-101.47,,19781001.0,40.0
10.18730/K3Q2X,G9720,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,SAN JUAN DEL RIO - SAN JUAN DEL RIO - QUERETARO,20.41,-100.0,,19770601.0,40.0
10.18730/JNQQ~,G9716,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,ACAMBAY - ACAMBAY - MEXICO,19.96,-99.86,,19781001.0,40.0
10.18730/JNQAM,G9714,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,GROWN IN GUERRERO - TIXTLA DE GUERRERO - GUERRERO,17.65,-99.55,,19781001.0,40.0
10.18730/JNNS8,G9676,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,"GROWN IN ALAMO, PURCHASED AT TLAPACOYAN - ALAMO - VERACRUZ",20.92,-97.68,,19781001.0,40.0
10.18730/JNNAY,G9664,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,PUEBLO VIEJO OUT FROM MARTÍNEZ DE LA TORRE - MARTINEZ DE LA TORRE - VERACRUZ,20.07,-97.05,151.0,19781001.0,40.0
10.18730/K35MT,G9654,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CERRO DE LAS GALLINAS - CHURINTZIO - MICHOACAN,20.13,-102.11,,19770601.0,40.0
10.18730/K35NV,G9655,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,SAN MIGUEL EL ALTO - SAN MIGUEL EL ALTO - JALISCO,21.02,-102.4,,19770601.0,40.0
10.18730/K35QX,G9657,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,HUATUSCO - HUATUSCO - VERACRUZ,19.15,-96.95,,19770601.0,40.0
10.18730/K35KS,G9653,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,YURECUARO - YURECUARO - MICHOACAN,20.34,-102.3,,19770601.0,40.0
10.18730/JH6WQ,G9612,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,ABOUT 6.5 MI NW OF ZAMORA - ZAMORA - MICHOACAN,20.0,-102.34,1585.0,19700901.0,40.0
10.18730/JZ3RE,G95,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TLALNEPANTLA - TLALNEPANTLA - MEXICO,19.56,-99.28,2530.0,19700901.0,40.0
10.18730/JZWEV,G939,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TEZIUTLAN - TEZIUTLAN - PUEBLA,19.83,-97.36,2450.0,19700901.0,40.0
10.18730/JZW4H,G938,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SANTIAGO APOSTOL - ZIMATLAN - OAXACA,16.75,-96.74,1800.0,19700901.0,40.0
10.18730/JZW0D,G937,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,ZAPOTITLAN - ZAPOTITLAN - JALISCO,19.54,-103.76,1500.0,19700901.0,40.0
10.18730/JZWBR,G936,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,MARAVILLAS - NOPALA - HIDALGO,20.21,-99.59,,19700901.0,40.0
10.18730/JZWAQ,G935,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,ALTAMIRANO - ALTAMIRANO - CHIAPAS,16.74,-92.03,630.0,19700901.0,40.0
10.18730/JZW9P,G934,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,METEPEC - METEPEC - MEXICO,19.24,-99.61,,19700901.0,40.0
10.18730/JZW8N,G933,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TEXCOCO - TEXCOCO - MEXICO,19.53,-98.89,2353.0,19700901.0,40.0
10.18730/JZW7M,G932,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,CHAPINGO - TEXCOCO - MEXICO,19.49,-98.89,,19700901.0,40.0
10.18730/K32FU,G9284,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770201,MEX,ALTOTONGA - ALTOTONGA - VERACRUZ,19.75,-97.25,2000.0,19770201.0,40.0
10.18730/K32E=,G9283,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770201,MEX,"70 MI SE OF OAXACA, SAN JOSE EL VIEJO - TLACOLULA DE MATAMOROS - OAXACA",16.67,-96.11,,19770201.0,40.0
10.18730/JZVYB,G915,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,CIUDAD GUZMÁN - CIUDAD GUZMAN - JALISCO,19.69,-103.49,1660.0,19700901.0,40.0
10.18730/JZ46W,G91,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,AHUACATLAN - AHUACATLAN - PUEBLA,20.01,-97.86,,19700901.0,40.0
10.18730/K30WP,G9075,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770201,MEX,ACAPULCO - ACAPULCO - GUERRERO,16.84,-99.83,3.0,19770201.0,40.0
10.18730/K30JC,G8932,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,SAN JUAN DEL RIO - SAN JUAN DEL RIO - DURANGO,24.74,-104.45,1829.0,19761201.0,40.0
10.18730/K30HB,G8931,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,CUAUTITLAN - CUAUTITLAN - MEXICO,19.67,-99.19,,19761201.0,40.0
10.18730/K30F9,G8929,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,ZACATECAS - ZACATECAS - ZACATECAS,22.79,-102.61,2612.0,19761201.0,40.0
10.18730/K30D7,G8927,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,FRESNILLO - FRESNILLO - ZACATECAS,23.19,-102.91,1800.0,19761201.0,40.0
10.18730/K30A4,G8924,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,TIZAYUCA - TIZAYUCA - HIDALGO,19.84,-98.99,2353.0,19761201.0,40.0
10.18730/K30B5,G8925,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,REYES DE ACOZAC - ZUMPANGO - MEXICO,19.8,-98.98,2210.0,19761201.0,40.0
10.18730/K3082,G8922,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,TOLUCA - TOLUCA - MEXICO,19.3,-99.67,2675.0,19761201.0,40.0
10.18730/K3093,G8923,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,CHALCO - CHALCO - MEXICO,19.25,-98.89,,19761201.0,40.0
10.18730/K304=,G8918,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,OJUELOS DE JALISCO - OJUELOS DE JALISCO - JALISCO,21.89,-101.6,2750.0,19761201.0,40.0
10.18730/K305U,G8919,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,TOLUCA - TOLUCA - MEXICO,19.25,-99.65,2675.0,19761201.0,40.0
10.18730/K302~,G8915,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,GUADALAJARA - GUADALAJARA - JALISCO,20.69,-103.47,1589.0,19761201.0,40.0
10.18730/K301*,G8914,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19761201,MEX,KM 165 GUAD-SLP - SAN JUAN DE LOS LAGOS - JALISCO,21.28,-102.34,1600.0,19761201.0,40.0
