ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G22271,1,1,0.978,RandomForest,Sequia
G16974,1,1,0.888,RandomForest,Sequia
G7912,0,0,0.11,RandomForest,Sequia
G50907,0,0,0.012,RandomForest,Sequia
G50505,0,0,0.006,RandomForest,Sequia
G23536,0,0,0.0,RandomForest,Sequia
G18962A,0,0,0.024,RandomForest,Sequia
G23441,0,0,0.032,RandomForest,Sequia
G11056A,0,0,0.004,RandomForest,Sequia
G22525,1,1,0.79,RandomForest,Sequia
G8914,0,0,0.0,RandomForest,Sequia
G480,0,0,0.228,RandomForest,Sequia
G52127,0,0,0.094,RandomForest,Sequia
G18612,0,0,0.0,RandomForest,Sequia
G50537,1,0,0.326,RandomForest,Sequia
G18557,0,0,0.002,RandomForest,Sequia
G11845,0,0,0.05,RandomForest,Sequia
G19683,0,0,0.124,RandomForest,Sequia
G19018,0,0,0.006,RandomForest,Sequia
G6422,0,0,0.004,RandomForest,Sequia
G21940,1,0,0.496,RandomForest,Sequia
G23135,1,0,0.062,RandomForest,Sequia
G2185,0,0,0.0,RandomForest,Sequia
G3072,0,0,0.046,RandomForest,Sequia
G50307,1,1,0.99,RandomForest,Sequia
G51837,0,0,0.018,RandomForest,Sequia
G20764,1,0,0.452,RandomForest,Sequia
G22674,1,1,0.982,RandomForest,Sequia
G222,0,0,0.01,RandomForest,Sequia
G18200A,0,1,0.812,RandomForest,Sequia
G11557,0,0,0.224,RandomForest,Sequia
G50893,0,0,0.054,RandomForest,Sequia
G18636,0,0,0.002,RandomForest,Sequia
G20935,1,1,0.98,RandomForest,Sequia
G24574A,0,0,0.0,RandomForest,Sequia
G22786,0,0,0.006,RandomForest,Sequia
G15839,0,1,0.856,RandomForest,Sequia
G210,0,0,0.054,RandomForest,Sequia
G18201,0,0,0.156,RandomForest,Sequia
G11028,0,0,0.0,RandomForest,Sequia
G22826,0,0,0.004,RandomForest,Sequia
G154,0,0,0.216,RandomForest,Sequia
G11024,0,0,0.0,RandomForest,Sequia
G492,0,0,0.048,RandomForest,Sequia
G554,1,0,0.212,RandomForest,Sequia
G10075,1,1,0.992,RandomForest,Sequia
G7169,0,0,0.062,RandomForest,Sequia
G13092,1,1,0.978,RandomForest,Sequia
G16061,0,0,0.048,RandomForest,Sequia
G622,1,1,0.938,RandomForest,Sequia
G18963,0,0,0.024,RandomForest,Sequia
G24365,0,0,0.004,RandomForest,Sequia
G22800,0,0,0.018,RandomForest,Sequia
G20219,1,1,0.962,RandomForest,Sequia
G17147A,0,0,0.046,RandomForest,Sequia
G802,0,0,0.078,RandomForest,Sequia
G20370,1,1,0.994,RandomForest,Sequia
G16917,1,1,0.89,RandomForest,Sequia
G4892,0,0,0.002,RandomForest,Sequia
G5535,0,0,0.05,RandomForest,Sequia
G8176,0,0,0.09,RandomForest,Sequia
G7806,0,0,0.0,RandomForest,Sequia
G7065,1,1,0.854,RandomForest,Sequia
G52007,1,1,0.952,RandomForest,Sequia
G24378,0,0,0.008,RandomForest,Sequia
G20265,1,1,0.802,RandomForest,Sequia
G20263,1,1,0.956,RandomForest,Sequia
G24767C,0,0,0.434,RandomForest,Sequia
G24006,1,1,0.946,RandomForest,Sequia
G24339,0,0,0.006,RandomForest,Sequia
G334,1,1,0.874,RandomForest,Sequia
G411,0,0,0.11,RandomForest,Sequia
G50573,0,0,0.02,RandomForest,Sequia
G4713,0,1,0.926,RandomForest,Sequia
G20932,1,1,0.984,RandomForest,Sequia
G24296,1,1,0.888,RandomForest,Sequia
G514,1,1,0.93,RandomForest,Sequia
G729,1,0,0.366,RandomForest,Sequia
G50477,0,0,0.062,RandomForest,Sequia
G20559,0,0,0.298,RandomForest,Sequia
G50852,0,0,0.066,RandomForest,Sequia
